Sample_id,HRD,Telomeric_AI,LST,HRD-sum
CBCP00001-T1,0,0,0,0
CBCP00002-T1,0,0,0,0
CBCP00003-T1,6,6,5,17
CBCP00004-T1,9,25,16,50
CBCP00005-T1,12,21,15,48
CBCP00006-T1,13,17,19,49
CBCP00007-T1,2,11,7,20
CBCP00008-T1,3,2,4,9
CBCP00009-T1,2,9,15,26
CBCP00083-T1,1,1,1,3
CBCP00084-T1,6,10,5,21
CBCP00085-T1,2,2,1,5
CBCP00086-T1,6,5,7,18
CBCP00087-T1,4,4,6,14
CBCP00111-T1,0,0,1,1
CBCP00112-T1,4,3,3,10
CBCP00113-T1,1,2,1,4
CBCP00114-T1,9,9,11,29
CBCP00116-T1,4,4,3,11
CBCP00117-T1,5,6,3,14
CBCP00118-T1,4,7,3,14
CBCP00119-T1,10,7,5,22
